,ptr,ggo,ppy,mml,hsa br M 1,hsa br M 2,hsa br M 3,hsa br M 4,hsa br M 5,hsa br F 1,hsa cb M 1,hsa cb F 1,hsa ht M 2,hsa ht M 1,hsa ht F 1,hsa kd M 1,hsa kd M 2,hsa kd F 1,hsa lv M 1,hsa lv M 2,hsa ts M 1,hsa ts M 2,ptr br M 3,ptr br M 2,ptr br M 5,ptr br M 1,ptr br M 4,ptr br F 1,ptr cb M 1,ptr cb F 1,ptr ht M 1,ptr ht F 1,ptr kd M 1,ptr kd F 1,ptr lv M 1,ptr lv F 1,ptr ts M 1,ppa br M 1,ppa br F 1,ppa br F 2,ppa cb M 1,ppa cb F 1,ppa ht M 1,ppa ht F 1,ppa kd M 1,ppa kd F 1,ppa lv M 1,ppa lv F 1,ppa ts M 1,ggo br M 1,ggo br F 1,ggo cb M 1,ggo cb F 1,ggo ht M 1,ggo ht F 1,ggo kd M 1,ggo kd F 1,ggo lv M 1,ggo lv F 1,ggo ts M 1,ppy br M 1,ppy br F 1,ppy cb F 1,ppy ht M 1,ppy ht F 1,ppy kd M 1,ppy kd F 1,ppy lv M 1,ppy lv F 1,mml br M 2,mml br M 1,mml br F 1,mml cb M 1,mml cb F 1,mml ht M 1,mml ht F 1,mml kd M 1,mml kd F 1,mml lv M 1,mml lv F 1,mml ts M 1,mml ts M 2
ptr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptr ts M 1,,,,,0.4653566297551738,0.4779747050154569,0.4339905327358548,0.3513734560586427,0.3029550737708856,0.529198485879543,0.44352518085126635,0.4457342041630034,0.4659940327030534,0.5269892596286091,0.4898668892843657,0.4460104645195482,0.47917747541689704,0.4824966822028439,0.23742617914783753,0.22346327934281437,0.7506903562187475,0.8565500135898618,0.37683580688857704,0.35607245575909147,0.3942935105959746,0.4186040572140562,0.43203709599832557,0.4144357487227934,0.48856063616256207,0.4529522335339898,0.5300545810080017,0.2841044054382687,0.2807420132895134,0.4003903407997149,0.5282071076997086,0.45299355197539987,0.9999338142338527,0.5190526843131286,0.4396579456759437,0.4202724417746265,0.5684414061952828,0.4520841404930204,0.6353048441936721,0.3748394264541364,0.4992724306478595,0.4949291911071177,0.266240491739268,0.48305208319210496,0.9294860958358501,0.411798827965913,0.5259192345194952,0.39749197723903934,0.5232875652174862,0.40945932988110223,0.5668521900015854,0.2653408863675601,0.42081987624625206,0.44468846252293903,0.47091950963635093,0.9032089785664299,0.3992684150788917,0.4737196784278973,0.16889056639166997,0.6434667948934495,0.6015400841219286,0.447556099202736,0.48977051566786917,0.595354019750448,0.5227497911310277,0.3862783576014728,0.45197517867888015,0.45215994909007134,0.1290269504145349,0.31717059065974085,0.17543132279707402,0.4924888619217637,0.161930449821002,0.3455937537218439,0.34087520328789983,0.41530304331239354,0.8361014231951966,0.8622631892326011
ppa br M 1,,,,,0.8648780977605317,0.885182906622638,0.7222824613547895,0.6426433883642949,0.6618825169809175,0.8406081708580723,0.8316664696084508,0.7367705638648923,0.7526466780903597,0.7695119732320502,0.7805595204993294,0.7570255124190578,0.8374278874263739,0.8195133917325679,0.6245466938596067,0.6291651089481656,0.6209838684578584,0.6037406934684748,0.8728129875974906,0.8489860579921087,0.8973357830857581,0.8145227199842099,0.9465369314903224,0.8170216832506474,0.8366816421834296,0.8325926408024301,0.7968308580061928,0.8236203609698725,0.8181024771461621,0.8016421481762263,0.6575539070931485,0.6711460731848486,0.5225149279654406,0.9999985885642614,0.814807850459195,0.8619273688447459,0.8631816921102846,0.8526629483678887,0.8235418338435759,0.8026274359101895,0.8150415997798631,0.8155273365131321,0.6948268487590333,0.686123607250562,0.43838504183051374,0.7553089212030559,0.8425638083731503,0.7104715927063939,0.7711210294731587,0.742222844996594,0.6883058076632556,0.7892295072503605,0.7692108103719698,0.5969143685606655,0.598037561906925,0.6516233232067867,0.7533833637463189,0.7891765839515845,0.6792498563500943,0.6136767285247122,0.6540281362278856,0.7047270416200807,0.6567929345731662,0.5792423286766682,0.5205256509106748,0.8312981922076499,0.8698594690911275,0.8480352916125923,0.7727516079203571,0.7981498316387327,0.7495434091560088,0.7648347590580051,0.7840747836811957,0.8138984847851833,0.5304474271053649,0.6864860604375005,0.4539041676868427,0.43501845044978815
ppa br F 1,,,,,0.7857856858380762,0.7505325441559416,0.8093503222387459,0.7187061847830786,0.8028654246927259,0.7890466863113086,0.8431164877659961,0.8043741462549701,0.8292025500591336,0.8336865730907614,0.8274542154880447,0.8978454397883101,0.8543651028545993,0.8547725999009541,0.6935028306351981,0.7894905222717987,0.7440301582004106,0.6285381835225412,0.9169683153427286,0.9080985293183381,0.908450728194742,0.943361700808092,0.8657237185879855,0.8336033426819099,0.8407684977680104,0.8088521332854136,0.6352392945233015,0.7503840590710137,0.7518267967419472,0.8548401659636184,0.7873856789575165,0.8738903185600366,0.4439040110339193,0.8153139083925157,0.9998955846758244,0.9081666299147905,0.8177325774332208,0.8269381592752674,0.7877182988096741,0.7381059081438021,0.8817906693968002,0.8858429323187264,0.7069932990880581,0.7697343404026791,0.46169167134176137,0.8860623559940978,0.8354174609557873,0.7902982234194158,0.8303045722598178,0.8217004258183633,0.7884039763631763,0.8117820629062878,0.8391331922773254,0.7435763928155134,0.7393475936244959,0.5505129447840122,0.8537934688135731,0.8475129940690472,0.6831471735367847,0.609036237386162,0.6334229066834489,0.7780049946738755,0.7803915097668462,0.6492208386425169,0.7193212474425992,0.8409328132989393,0.7828877828461338,0.8036896866025667,0.7912999828114173,0.6715105197838414,0.8062297192066098,0.7119229067666496,0.7334371416030375,0.783124560604819,0.6851095863124498,0.683030022992031,0.36740904764408566,0.4140541004116416
ppa br F 2,,,,,0.8491989960274372,0.8012753649227565,0.8007270826072129,0.7990500884049577,0.7788967081029065,0.8499675795290893,0.8829279494884753,0.8329191040558079,0.8254349615876907,0.8198642634639141,0.8355994773363482,0.8708877078633499,0.88358158974224,0.8504081779464627,0.6831598194520008,0.7575467938123777,0.6842543033929059,0.589684539452974,0.9428617217116801,0.9404822578842059,0.9469130675011237,0.9308425299118308,0.9148075143207554,0.8568000530774492,0.8696938196489077,0.8306066356156325,0.7138424255355686,0.8173485170847571,0.8157016694074546,0.8958403909796954,0.7736341260275871,0.8269102638992913,0.424665724658456,0.8621209147560263,0.9095049865258752,0.9998968064161257,0.8480117488771016,0.9074541423587446,0.844244443394552,0.7988426114773409,0.8979746234843827,0.9091032509922007,0.7467092334211151,0.787529621939894,0.4224652361377954,0.8624044764365807,0.8643927949996147,0.8357497922126741,0.8592879376422176,0.8571549022162851,0.8259083046778029,0.8150143823886784,0.8399376704703727,0.6909575701774037,0.7185422167421593,0.5556347692945813,0.8567857514035228,0.8696965233807149,0.7375544162423375,0.674042009163715,0.6622276565393801,0.7764104151242728,0.7605889000902064,0.6277767098691536,0.6703077358256717,0.8586781739222991,0.8264362687682619,0.8535857626164614,0.8572918923753837,0.7761820247458977,0.8717958445133547,0.7901930971721756,0.8029283469852689,0.8270771663525088,0.7236084023006005,0.7318335988033365,0.36401943839613066,0.42472040976506836
ppa cb M 1,,,,,0.7864980433183205,0.7300985589892347,0.7150949502461302,0.7141199655572087,0.6897915401141016,0.7866527626848713,0.8760740545365908,0.8420874160796671,0.8233464693633599,0.8675102874071,0.8772065674153185,0.7821364747936692,0.8402010358592534,0.8321942811826396,0.6644489780043953,0.6981589802475258,0.6665388204723446,0.6306149433511733,0.8296805387819548,0.8091340254641215,0.8539515087637914,0.8345183180969666,0.8571112664171758,0.7824693297682099,0.9560591619988508,0.8821755841648564,0.8329670767529519,0.8469419813787012,0.8188864952966749,0.804836204537833,0.7835310128598785,0.7667747070461444,0.5712390721097997,0.8632400104527852,0.8188496247345743,0.847793073135197,0.9999988570177567,0.9491264643759408,0.8982582363562704,0.8909038220409523,0.8509733545488214,0.8923823917980217,0.7436222795572356,0.7504062755136668,0.5243797737179038,0.8150066865294033,0.8389926401105008,0.8445674037652978,0.9100748371059907,0.8363916635416556,0.8142656731725185,0.818968195253579,0.8210080217132428,0.7086462767209107,0.7139099455880857,0.6568815684461842,0.7674383518233243,0.8186965724148254,0.8024803540310942,0.7324307809058135,0.7367314120102972,0.7629959812733573,0.7593655643126026,0.711011212994626,0.6183117714031283,0.7623318759677876,0.7634619637505705,0.7803690081727804,0.804101346077357,0.7996118448848992,0.8382373540074041,0.8254921715599443,0.7771269663132767,0.8206326769213741,0.5807048393033264,0.7217577989158909,0.49557052468673557,0.5250671826447625
ppa cb F 1,,,,,0.7809605655163829,0.7222200720753934,0.6780966755459683,0.7187088014616889,0.6572007343033691,0.756863906116439,0.8570952078437527,0.8015341186345276,0.8116726332036915,0.8307909004561138,0.8481363752247444,0.7813086613282146,0.8379275143798379,0.8168873390926009,0.688876606641669,0.719929492720275,0.6194974471778386,0.5650885401084793,0.8713143401407615,0.8692576341537572,0.8926168166393039,0.8415288263211111,0.8774600394170473,0.7813684083423073,0.9350811204445924,0.8675683167867003,0.7862110685702568,0.840712931622707,0.7813706271992644,0.7982204299684704,0.7681656807245245,0.765488389673458,0.45476139604737265,0.8523465088271954,0.8278216976513726,0.907164075882172,0.948814859384847,0.9999842972761089,0.88582528938226,0.8412805344785719,0.8322652924688031,0.8875649906850521,0.7666112342460129,0.7915809827290394,0.38379250791161557,0.7919043602226411,0.8048463952730016,0.891397932809283,0.8967302439475661,0.8257626715482761,0.7863198637640938,0.8299593943629177,0.8172714679062197,0.7365394304438956,0.7422052993318332,0.5941297518617463,0.7835378665067224,0.802936665492141,0.8146149140304582,0.6698701648996694,0.7245660895610588,0.7753193623633309,0.7555759145386584,0.7055226944796452,0.6149951434883102,0.7605771228817778,0.7669568754295623,0.7640357386448304,0.8350168489193841,0.8258429137708893,0.854342162939812,0.8008590507193213,0.7763187081878355,0.8236061498821149,0.591280441231067,0.6816020396121989,0.4188959634605388,0.4302076319809215
ppa ht M 1,,,,,0.7206814651793558,0.6882093128144814,0.6125298944030818,0.6254054777958078,0.5693031001601975,0.7236170752559424,0.8048388658270159,0.800042430006543,0.8858265480308233,0.8598978366524191,0.9057149482336928,0.7846079842782909,0.8587922965813509,0.8394308441389231,0.7349258886974228,0.7379276531059065,0.6850957120449489,0.697804879945176,0.7840067380084722,0.7806683246838572,0.8160144710137465,0.7809131181885594,0.8083059542126586,0.730155355647277,0.87800338480779,0.7886261201065393,0.8759663172102988,0.8847477043816735,0.8232479603822035,0.7859794613192194,0.8128237019694748,0.7978786253071252,0.6372533554785119,0.8229411003453007,0.7875752609378598,0.8425287979737112,0.8976335682147969,0.885976262476117,0.9998663620949112,0.9150724749755675,0.8636155260410691,0.8863343081925388,0.8294288904337707,0.8259895214849284,0.5362699215269038,0.7250404172136348,0.7688977232188612,0.7810729118656328,0.8412526007395196,0.8742557604755365,0.8156145105937976,0.8599796619387178,0.8178511377535097,0.7975127215032447,0.7744221079152838,0.7014116422010196,0.7164002531833861,0.7914917902208539,0.7950197739404302,0.8251285125207394,0.8496608973875807,0.8228192686815431,0.8305439637859559,0.8031093327294889,0.7532291001392255,0.6939872048826463,0.7327185933526426,0.7234689513247348,0.7384549906097234,0.7487601526369312,0.8564771326957951,0.8811975365100306,0.7731419938616196,0.7998988818702615,0.5331941353499419,0.696538602924421,0.5616013100545048,0.5694953457392844
ppa ht F 1,,,,,0.6846298580242389,0.662543132971581,0.5877968524999684,0.5987928924195703,0.5650667204300691,0.7120254867299035,0.7715124511665445,0.801312898428898,0.8888113566649002,0.8881634364707647,0.9233764502118665,0.7590582100659636,0.8492327227629202,0.8423251331751956,0.7338523793450811,0.7469982740677158,0.5028888956207272,0.5088015778969596,0.7398962576567816,0.7225281928639339,0.770697831884218,0.75029976929196,0.8057505513966967,0.723662888835825,0.8629397344417806,0.7874799724490963,0.9450034206021551,0.908852859922729,0.837570147984348,0.7675573557546023,0.7844930081426759,0.7293110060446616,0.37443068620887315,0.8028072450222136,0.7385679495359956,0.7985741726890655,0.8907222390718431,0.8415881703414995,0.916154367828073,0.9999400996288669,0.8331487575848112,0.8758735038070037,0.8110003847390296,0.7912020134461211,0.3567442094726094,0.7199040386726692,0.7977617317167944,0.746401463350599,0.8330340719870124,0.869543556248549,0.8504374178255024,0.8505554947512909,0.7887874966344119,0.745303410691416,0.7515175780040702,0.4971826681486905,0.6930145478852267,0.7951321806789511,0.8021969958886911,0.8764557832950114,0.8579701462183624,0.786189495177051,0.7883624504456663,0.7624101264025753,0.6718470239615519,0.6586512394676666,0.6969088443150996,0.6908570238476713,0.7427122686495842,0.7454075944203343,0.8337958615470595,0.8791729193516846,0.7722031310303056,0.774885322173972,0.49440729078426865,0.6800295395994709,0.2977323478630426,0.3405474574635352
ppa kd M 1,,,,,0.8111143008682271,0.7631932324381486,0.7870271393182093,0.7617077964649706,0.7803550386197806,0.821610935109985,0.8698055551656068,0.8628995044893594,0.8621073299431156,0.8632211179467665,0.881922177075898,0.8819432065806073,0.9128278709078101,0.9029172019055958,0.6960156610753055,0.7387423173652546,0.7177792972367024,0.6387090482447126,0.8749854441633848,0.847042714831314,0.8944253967023907,0.8998160178940889,0.8549976752848241,0.7800879811803395,0.8464616574614648,0.7723833206987873,0.7631949463331037,0.7905060816335477,0.9333500649761748,0.9280920088991991,0.840582396144553,0.8433146055208364,0.5007272935011872,0.8153681348788557,0.884511477349317,0.899151935927537,0.8514016382861098,0.8331453658375814,0.8668487836523633,0.8343484111405073,0.9998629873654595,0.9693325929235856,0.8068000476238106,0.8474977098042793,0.5371846514283648,0.8738426570704587,0.8777672831914991,0.813838408419653,0.8723341040211214,0.8756389344530053,0.8738142391276279,0.9026850767631611,0.9468597157015725,0.7806171832754751,0.7772678361957764,0.5892824122415332,0.8700156622841875,0.9000344916787879,0.7893946712957456,0.759202259597042,0.7356812686325791,0.859544082763346,0.8705553684290442,0.7257359273260506,0.7899926194756384,0.8308468017064717,0.8064857500418737,0.8366300653106288,0.8137844513222415,0.7514105219973497,0.8853308772284606,0.8239739294205083,0.8407712466289817,0.8671443949177152,0.7388255146452236,0.7966234842762673,0.4367789459924537,0.4911330738236668
ppa kd F 1,,,,,0.7743713713018415,0.7344543076483039,0.7464707011880891,0.7522432405254533,0.7368873744891246,0.7935013735071857,0.8745746868202231,0.8814007780282195,0.8850443704784193,0.8985861641173957,0.9164007717450874,0.8868748545089087,0.9237879368538673,0.892392877327392,0.7374829423023442,0.7646772678654663,0.6989311802064168,0.6415138073154263,0.8668868573590269,0.8569885563469791,0.8949937493422173,0.8942509214181824,0.8651771520948339,0.7900760280304446,0.8966299627648372,0.8153793195779043,0.8043956959018221,0.8230851514141642,0.9163121498557336,0.9111604397961254,0.8532064413533633,0.8423992055493305,0.4954669512327066,0.8154437073804196,0.8880682361244542,0.9101054814450297,0.8925648721552513,0.8884652837791742,0.8884269739018943,0.8767342896415018,0.9690643528514908,0.9998693817048873,0.8240631379962945,0.8766689242760833,0.5095096770598431,0.8695618963315681,0.875421449298311,0.8511188888436086,0.9060805180426517,0.90456446801202,0.8846846245170453,0.9250191034486857,0.9389628391262225,0.8263237939264,0.8226166436430657,0.5936442951596985,0.8529151980093659,0.9004088051647623,0.8408978913864482,0.7907646412028948,0.7888347310432593,0.8751644641651394,0.8904438233108679,0.7613816743011811,0.7794562288318628,0.8304583754552844,0.809231151492917,0.8243103999783101,0.846602390649515,0.7966671134105452,0.901885201647866,0.8519161373263371,0.845480355119651,0.8702654002144735,0.6879089127594693,0.7614739339339532,0.44094001900541,0.48844484927991466
ppa lv M 1,,,,,0.6803439979575705,0.6565646348127008,0.6139302483512196,0.704057167254121,0.5762432937981494,0.7220833915634126,0.715890167132089,0.7785765293431522,0.8187730523446449,0.8079425640448008,0.8272079005484976,0.7121187627270263,0.7946810396567224,0.771437472925844,0.9001068170672974,0.8518707170945569,0.4498227229303076,0.41519059251369966,0.6917295529913473,0.7362671971383918,0.7308554165008647,0.6878405350634491,0.720379160228432,0.6844352892535867,0.7385508109836388,0.683454957893077,0.7713852886278337,0.8172166000201956,0.8125660949943858,0.7785416169943686,0.8797146639539049,0.7906239980514372,0.26928428939112337,0.6945818160088533,0.7050626655659614,0.7450680749002088,0.7433609063493878,0.7661659796264811,0.8287258720927845,0.8097346777708206,0.8046934409914902,0.8218811021687482,0.9999954214462109,0.9285321098501902,0.2926429399652554,0.6565742905210586,0.7128056537322855,0.7024026293643396,0.7669240774358805,0.7961161357879977,0.7955731671074725,0.8209739084788893,0.7546692627120044,0.836476785433063,0.8307515215176161,0.39098068202663977,0.7589254376372446,0.8348528833250436,0.8198143286598355,0.7624098461076201,0.7820043266264167,0.8172991233203714,0.81576787271814,0.8371192205491551,0.7819568122150856,0.6693828978964168,0.7255003392143075,0.6813603898385608,0.7798789701438489,0.6998703220881839,0.8228281408071371,0.815752600419362,0.7800955482925541,0.7101840849067393,0.6996344747578322,0.769991279817777,0.1516791555621426,0.21312480171046813
ppa lv F 1,,,,,0.690763172593445,0.6567904024837402,0.6622422466786183,0.7162069590832381,0.6514450701330492,0.7431391041572334,0.7408698266483841,0.8110064363327166,0.8276160301414308,0.8363873016402509,0.8530227482445576,0.7390245233570272,0.8099069516500047,0.7925433794078801,0.8315331413990347,0.7933442814162733,0.6543583088562942,0.6302451117890968,0.7333241095126374,0.7645198502425908,0.7735547723982924,0.7418288834744208,0.7557731877175031,0.6875101484066699,0.7642661708979688,0.6741907429002881,0.7386674820912174,0.7515388798711209,0.8086082351382317,0.8072063702103428,0.8633248626587953,0.8041022744131698,0.4832213281500974,0.6857291783352185,0.7689739361978085,0.7863665912697277,0.7492688503494067,0.7907338350948772,0.8254489748067424,0.7898130929919759,0.8457442011115505,0.8746835530038419,0.9287505860125261,0.9999723019574048,0.5034438853980464,0.7368548848770465,0.7414984259195813,0.729721186938227,0.7784541444402913,0.8302155625486444,0.8185034611449689,0.8446556870702763,0.8139264438437614,0.896498018684134,0.871347716992523,0.5843932042961608,0.7847835291536275,0.8280375819057931,0.7586805152297363,0.7399188109059304,0.7641663573807267,0.8002756331228056,0.8141204889543221,0.8035340659868863,0.8228358233618398,0.713791171722492,0.7207193150007707,0.704785559858809,0.7542622599970945,0.6923849094830344,0.7938581195798514,0.7932383239359466,0.7032586488461622,0.718011792047134,0.6950959035433419,0.7338777409668518,0.3794130154391523,0.4447918507496296
ppa ts M 1,,,,,0.45296105917134066,0.42834788386303746,0.5266589939354989,0.43754784487646753,0.4359920126542246,0.5390707091054517,0.4565656647433199,0.5123907695301416,0.43351606609793736,0.5194759055590034,0.46127898617803864,0.4628209309623849,0.4548564843319067,0.46180920745764,0.1864994010284207,0.22010076070708987,0.7891229129283897,0.8322435430814493,0.39687991512761994,0.3604100323056516,0.3989393563862477,0.472007812283011,0.4002841547828367,0.43666472476484874,0.4712583657645376,0.43511267452969216,0.4338248548080656,0.2449108726967683,0.3340569883869187,0.4636464010934752,0.5775851602877907,0.5088875320730727,0.929613592665468,0.43617703531693075,0.46008473904932107,0.41935064655043974,0.523007773041719,0.3835852047281737,0.5390521816516778,0.36016949143000876,0.5368869052109373,0.5110720083789108,0.291485390876263,0.504348454030599,0.9999448267898771,0.5049373571303264,0.5512218065623123,0.3980345381283876,0.531422036192518,0.45481166784487115,0.6188769340955179,0.2606656255773019,0.4836281354630512,0.39290816396317396,0.4387596288258484,0.8277975355081895,0.45439446725957966,0.5090803656198747,0.16522008741537672,0.6253042985932943,0.48648826427032105,0.4072754535752325,0.4832023053651546,0.5058997949979299,0.5470068415064315,0.4150201338192613,0.42664528948556046,0.46852027878620733,0.17171522872465972,0.2622471817500922,0.23894159080872102,0.4788956842558867,0.20304889628078943,0.31288167493494573,0.44978615084287854,0.466443571314442,0.7931001308269621,0.8800287829740755
ggo br M 1,,,,,0.8270263426800825,0.7531379550931743,0.9180125800456036,0.8158050839298068,0.9177423876095825,0.85728334315733,0.901270314857669,0.8387009830594293,0.7871510923989091,0.8577488235997045,0.8116732160057422,0.8768866485911351,0.855003842425227,0.8533591067567554,0.6407628854107191,0.7454934409993849,0.7768965314060574,0.634633260080482,0.900443650640889,0.8800654243674385,0.8900737909911406,0.9418463297603985,0.8527385277906885,0.8232684561111827,0.8491169726126412,0.7966412913850659,0.6255832962878546,0.7012555361946502,0.7735797823472572,0.8691147931625751,0.7889140000091507,0.8268856047325028,0.4143065959125246,0.7557877721057784,0.887763157265382,0.8627030961634656,0.8144821699709347,0.791739459507748,0.7272930152854289,0.7207802157032585,0.8726483346781237,0.869088064658527,0.6568088468337488,0.7378186576794636,0.5074169412037047,0.9999123603660065,0.9336673051535219,0.8492023814047899,0.9053067582121321,0.8737458281820509,0.8535329473012178,0.8122175842824959,0.8925714727991914,0.713649982095694,0.765812315839328,0.5555967879748916,0.8583721422811155,0.8469570942518755,0.6559296335392113,0.6548017053420278,0.547431992377919,0.7434890300618797,0.7545123157221942,0.6314997471980033,0.6576268400944872,0.8675871148809446,0.7634976309180223,0.8363874882293109,0.8354277576888247,0.6957214540583142,0.8187898206730148,0.714679949733625,0.7314411331253617,0.7882052415991605,0.7809364099576207,0.7741316560237771,0.42497104935285845,0.5047909302873793
ggo br F 1,,,,,0.8646308764107489,0.8380868074380514,0.8667576621208467,0.7787279566908633,0.8195527727730454,0.9047890204753558,0.8745254915595487,0.8129614592759665,0.8073200024068364,0.8571191769350568,0.8282182758772526,0.8542907075069405,0.8831658566390722,0.8769695446323089,0.6677098614954531,0.7522806145545358,0.7329355568474306,0.6682164040349533,0.8863134541104455,0.8691664199233792,0.8846105987869516,0.8938412195201023,0.8997402352188101,0.8725537687725702,0.854462505122737,0.8393509748423804,0.758688759957774,0.8021374496242369,0.8295229472650356,0.8780259194401198,0.8020452492235508,0.8003870064350673,0.5282685515926999,0.8423533006143188,0.8361503931966556,0.864307188729173,0.8383030712646399,0.8049268585056871,0.7709172953058325,0.7977131908252668,0.8763872936365706,0.8745712603768288,0.7132556280068819,0.7425301389717628,0.553500567905469,0.9325420175683709,0.9999559750960898,0.8406606544517692,0.9186153759273621,0.8936698398972018,0.8807573788918627,0.8496346805024274,0.8881004348302697,0.6914562640635442,0.7616617640051874,0.6535223013108947,0.8429981700340758,0.887201683521749,0.7004488885662493,0.7496054683440496,0.6308460311318361,0.7770179967666577,0.7659977697103959,0.6588057445079651,0.6317255142778724,0.8878473245029634,0.8478200984779262,0.8792383905097276,0.8534812074775572,0.7681579981159797,0.8217923418220847,0.7974159129792644,0.7986202780522479,0.8094306757645464,0.7099899705196073,0.7831976782562644,0.4830436910107835,0.5507550726087281
ggo cb M 1,,,,,0.7353990659222336,0.6578183438291407,0.7065424848525832,0.7497913728150879,0.6897936474553258,0.7108950316821422,0.8400442976390972,0.7725114341522161,0.7737563472999499,0.832838391856031,0.7949523958563157,0.8137515963541684,0.8282644397899144,0.8149549959196652,0.6746040749257376,0.7423963635609926,0.6491245706909687,0.5513097704002127,0.8352050173699912,0.8098418565777932,0.8271306456986206,0.8325383185441069,0.8038297928093217,0.7096868889072272,0.8592036858398897,0.7675898087700134,0.689876882617203,0.7437580923189158,0.7323411020685533,0.7680132609727577,0.7487117012594927,0.7338772619461553,0.40081914626531356,0.7103864334082294,0.7912243642579744,0.8351054805844984,0.844224009533717,0.8911601834709162,0.7807645306746701,0.7461301936413604,0.811758346862837,0.8490889112170775,0.7027298502361692,0.7305367703763186,0.39932133583479584,0.8485085498456789,0.8400790590312328,0.9999743497196246,0.9468172524312435,0.8429690625014554,0.8071701553529814,0.8488469516276711,0.8644096684433002,0.7653211155488043,0.8059956553835905,0.5620194300067003,0.7836847362615357,0.784962658523418,0.8172010141987527,0.6330574767688735,0.6614362940457568,0.7963993132233118,0.7926673135148831,0.7215077627659576,0.5835067400465564,0.7334216642136646,0.7373182066878913,0.7298967354672047,0.85537961962374,0.7843813612216347,0.8350499919302803,0.7329222159513779,0.7500465120944417,0.7874931229244014,0.6074318778504977,0.6639722087689597,0.45993774114461966,0.47724499439169515
ggo cb F 1,,,,,0.778383609427039,0.7211161593489084,0.7912697036049564,0.7869900536166771,0.755946576388443,0.8075300037239959,0.8974948581113721,0.8439373976281759,0.8347956897037428,0.9016394503885777,0.8710388464197273,0.8645345376219506,0.8829339898657057,0.8697989008902246,0.7362852102396072,0.7988728434151653,0.7420123108676685,0.6543152843378465,0.8664497931304915,0.8537499512555091,0.8685432213355404,0.8832908397631594,0.8470046323344185,0.8058675672061179,0.918201678965543,0.8465758737673812,0.7778865939810636,0.8230222004274219,0.806973343761732,0.8431937402752219,0.8511569057648399,0.820435943651907,0.5261218099359094,0.7712884143073163,0.8310177931469847,0.8586373322309219,0.9096571308073167,0.8966126512406462,0.8418201683603359,0.8330473749284665,0.8705857165124911,0.9045275241435097,0.7672034626759662,0.7795307979858984,0.5328390858153996,0.9046100874093997,0.918392545328604,0.9470542810502106,0.9999722982259922,0.9222714299890805,0.9033435558237066,0.8796808411655986,0.8964382291453356,0.7884152524302517,0.8433853641038475,0.653063066641872,0.8237388797835481,0.8606054076543378,0.8148901117587508,0.7627845002137372,0.7135819235748352,0.8341304909690774,0.8374400554629645,0.7649104556919005,0.6559354921847038,0.797886445776997,0.7714868993965395,0.7914494447752846,0.8674881683127196,0.7831364176372304,0.8723969670001644,0.8163392893655894,0.7888854447679066,0.8277108354373404,0.6859938433354631,0.7520566852553534,0.507893708402433,0.5538277375684248
