HGNC	PC1	PC2	Cluster
OSGEPL1	0.011620431744618099	-0.28171035608581235	1
TFB2M	-1.1361824303784531	-0.10414677525774771	1
NSUN6	-0.4816740151805639	-0.3918848493601609	1
TRDMT1	-1.1029417897212186	-0.025912459228395288	1
ELP4	-0.46810293369620587	0.26109047228544485	1
NAT10	-0.4049665652692864	0.23948487091834114	1
RPUSD2	-1.3551440735205962	-0.3129689657573829	1
CDK5RAP1	-1.0820931108883654	-0.08645332827407973	1
NFS1	0.2802570490276751	0.02505274586991694	1
ADAD1	5.352103586307716	-1.7821627487054825	4
ADAR	-1.2343294701883307	-0.002539436347971128	1
METTL14	-0.2790767603413879	0.8966936045054615	3
TGS1	-0.5111768603565904	0.9613423365643428	3
TRMO	-0.7842466540637866	-0.13406382973987055	1
ELP1	-0.38129495816199505	1.0029882940702373	3
TRIT1	-1.2503037517136888	-0.04562143413261139	1
NSUN4	1.075431158620787	-2.249849913818356	1
YRDC	1.0243657844248766	1.3698958600055557	3
TRMT44	-1.4600664318848724	-0.282085548784375	1
ZCCHC4	-1.2126906108276967	-0.12683651858657022	1
NSUN7	4.323172812374919	-3.0036116200741825	4
PUS1	-0.9547151915425869	0.20561093380354772	1
MRM2	-1.456920716147336	-0.29028766289157615	1
MEPCE	0.24996490248724412	-0.5803701805503071	1
THUMPD3	3.7719797796375705	-1.2208559061463418	4
SERGEF	-1.2926758785726085	-0.4437003877909625	1
METTL9	0.3998205945328527	-1.0522220838044805	1
RRP8	-0.7802071677231874	0.5594168935177668	1
THUMPD1	0.6741757562392123	1.175042324933589	3
FTSJ1	-1.2988654819398857	-0.003714328598303976	1
DKC1	-0.49534233470038214	1.1862849155708093	3
DUS2	-0.8965509749288126	-0.34708926278530444	1
ADAT1	-1.183206560755222	-0.14580172953970796	1
RPUSD4	-1.1722176260284856	0.003309721073372953	1
PUS3	-0.8007108798786149	-0.1619652420619001	1
MTO1	-0.8218982028675431	-0.125470339517847	1
PUS7L	-1.223848587631555	-0.4360753173081415	1
TRMT13	-0.3146334210474998	0.08237907437397791	1
TRMT5	-0.6214320986847094	-0.22154425157903257	1
YTHDC2	0.29240928237140706	1.1993006058142028	3
ADAT3	-0.8090944243085735	-0.8250243312563081	1
TRMT10B	0.6117871006563719	-0.8437650690160793	1
YTHDC1	4.281204587843218	0.6338707524889379	4
TFB1M	0.8501203417898219	-1.1835179019729496	1
TRMT12	-1.1130374004872605	-0.1834762756881125	1
TRMT6	0.5564832509843314	1.499967965309552	3
BCDIN3D	-1.0709529085463974	-0.2677591005297556	1
MRM3	-1.042158305986364	-0.008463557873134058	1
TRMT112	1.1652999072751058	1.049560340541525	3
YTHDF1	-0.11024949207346045	1.1345611002456382	3
CTU1	-1.5165371247037711	-0.33705623519093453	1
SPOUT1	3.0795447341630346	-1.2498146695437993	4
TP53RKA	-1.3160844022567455	-0.1583347083049902	1
TRUB2	-0.8160587656502858	0.02332126604628356	1
PCIF1	-0.2992196255171769	0.11466546076135549	1
YTHDF2	1.0089437659425886	1.1132461417478519	3
ALKBH3	2.961107060099687	-2.97031444424598	4
METTL27	-1.3957048634390377	-0.21505592289514916	1
APOBEC1	-1.5480277594909284	-0.37533158161105756	1
VIRMA	0.22498882612312565	0.6692251643267016	3
RPUSD1	-1.287684869586907	-0.09865340581624737	1
METTL8	-1.047760442121638	-0.014465615149281881	1
ALKBH5	0.1576599806250683	0.9719638269116868	3
TP53RKB	0.5810756926698997	-1.842437598350534	1
ALKBH2	-1.2647848571790066	0.06541148976886337	1
TRMT10C	-0.5195757427058771	0.4277112906049894	1
HENMT1	-0.38556422693260634	-0.2554639479140829	1
CMTR2	-1.4800922401137415	-0.26102651868099724	1
FBL	0.15393609114541548	1.4664441188998862	3
YTHDF3	-0.5137615044786071	0.324579564027054	1
TYW3	-1.3851268391558016	-0.21822793705001953	1
RBM15	-0.6539409499266002	0.10857557543842815	1
CTU2	0.09507018077592401	0.7118692424961621	3
NSUN3	-1.2763270898658194	-0.2338611893490086	1
FBLL1	-1.3364093731127553	-0.5997517173393275	1
RPUSD3	-0.9471017055549527	-0.34602870443585126	1
PUSL1	-0.9179971822952485	0.18390235409580583	1
METTL5	-0.47793908112236405	0.5224354080389195	1
TRMT1L	0.11659008992559125	0.1254624394261675	1
TPRKB	-0.5192166105497174	0.627179616332269	1
METTL4	-0.7941098953974036	-0.14866892182437935	1
FTO	0.8840604780559486	-1.9144694068683248	1
JMJD6	2.6142987991710465	-2.6807851326476295	4
METTL15	-1.3415295492471928	-0.2926764141621662	1
PUS7	-0.8738655787286101	0.6136866192951342	1
HNRNPC	4.562428006843879	3.130083153361224	2
WTAP	-0.9197166786828143	0.29988211343815446	1
TRMT61A	-1.3543077762341411	-0.21786965051164867	1
WDR6	-1.27536080080681	-0.15818389183665324	1
TRMT2B	-1.4805884202076454	-0.27412052113979335	1
MPST	-1.5384915394185563	-0.3953590767570175	1
RBM15B	-1.0240795292518163	-0.17377868279827663	1
MOCS3	0.4975966982957155	-1.1867754296465944	1
LCMT2	-1.3636486192405823	-0.22736866449488186	1
ALKBH1	-0.44369133984424547	0.20344846245667997	1
